"Date Range:","4/19/2018 00:00:00 to 4/29/2018 23:59:59"
"Report Timings:","All Hours"
"Show Zones:","Yes"
"Show Events:","Yes"
"Show Reports:","No"
"Show Trend Collections:","No"
""
"Thursday, April 19, 2018:"
"Zone","OCDC.AC4.ZONE","","Enabled","05:00","23:30"
"Zone","MRAK.AC01.SCHEDULE","","Enabled","05:00","18:00"
"Zone","SHIELDS AC02 SCHEDULE","","Enabled","05:00","23:59"
"Zone","ARC AHU4 SCHEDULE","","Enabled","05:00","  >>"
"Zone","ARC AHU3 SCHEDULE","","Enabled","05:00","  >>"
"Zone","ARC AHU2 SCHEDULE","","Enabled","05:00","  >>"
"Zone","ARC AHU7 SCHEDULE","","Enabled","05:00","  >>"
"Zone","ARC AHU5 SCHEDULE","","Enabled","05:00","  >>"
"Zone","ARC AHU1 SCHEDULE","","Enabled","05:00","21:30"
"Zone","PHLS.AC1.ZONE","","Enabled","05:00","22:00"
"Zone","GIEDT AHU1 SCHEDULE","","Enabled","05:00","23:30"
"Zone","Rec Hall_Schedule","","Enabled","05:00","20:15"
"Zone","Schalm Hall_Schedule","","Enabled","05:00","20:00"
"Zone","UNIV CLUB SCHEDULE","","Enabled","05:00","23:59"
"Zone","MRAK.AC02.SCHEDULE","","Enabled","05:01","18:00"
"Zone","TERC.AHUS1.ZONE","","Enabled","05:02","20:32"
"Zone","TERC.AHUS2.ZONE","","Enabled","05:03","23:33"
"Zone","TERC.AHUS4.ZONE","","Enabled","05:04","23:34"
"Event","MU BOOKSTORE SCHEDULE","","Enabled","05:30","22:30"
"Zone","SHIELDS AC21 SCHEDULE","","Enabled","05:32","23:59"
"Zone","SHIELDS AC51 SCHEDULE","","Enabled","05:34","23:59"
"Zone","SHIELDS AC52 SCHEDULE","","Enabled","05:35","23:59"
"Zone","SHIELDS AC53 SCHEDULE","","Enabled","05:35","23:59"
"Zone","CRUS.AHU1.SSTOZONE","","Enabled","05:45","23:00"
"Zone","SOCIAL SCIENCE AHU1_2 SCHEDULE","","Enabled","06:00","23:30"
"Zone","REC POOL LODGE SCHEDULE","","Enabled","06:00","18:30"
"Zone","CHEM.194 ZONE.SETBACK","","Enabled","06:00","22:00"
"Zone","ESF OFFICE ZONE","","Enabled","06:00","20:00"
"Zone","MSC.AH6.SCHEDULE","","Enabled","06:00","23:00"
"Zone","MSC.AH5.SCHEDULE","","Enabled","06:00","20:15"
"Zone","Young Hall_Build_Sched","","Enabled","06:00","22:30"
"Zone","WELLMAN.AHU1.SCHEDULE","","Enabled","06:00","23:00"
"Zone","E164.AHU2.SSTOZONE","","Enabled","06:00","20:00"
"Zone","E164.AHU1.SSTOZONE","","Enabled","06:00","20:00"
